cust_id ,trans_id ,trans_date,invoice_nbr,loc_nbr ,sales ,product_category ,payment_method,payment_status
128,1001361,2022-09-10,100045787,42,3533,Bags,Credit Card,completed
129,1001362,2022-09-11,100045788,10,1927,Men's Clothing,Credit Card,completed
130,1001363,2022-09-12,100045789,30,1259,Women's Clothing,Debit Card,completed
131,1001364,2022-09-13,100045790,19,2886,Kid's Clothing,Credit Card,completed
132,1001365,2022-09-14,100045791,37,4206,Accessories,Debit Card,completed
133,1001366,2022-09-15,100045792,17,2334,Kid's Clothing,UPI,completed
134,1001367,2022-09-16,100045793,24,1337,Winter wear,UPI,completed
135,1001368,2022-09-17,100045794,5,4727,Gym wear,UPI,completed
136,1001369,2022-09-18,100045795,10,3488,Footwear,Credit Card,completed
137,1001370,2022-09-19,100045796,7,897,Gym wear,Debit Card,completed
138,1001371,2022-09-20,100045797,9,4777,Men's Clothing,Debit Card,completed
139,1001372,2022-09-21,100045798,18,3746,Accessories,Credit Card,completed
140,1001373,2022-09-22,100045799,28,3180,Bags,Credit Card,completed
141,1001374,2022-09-23,100045800,29,4290,Women's Clothing,Debit Card,completed
142,1001375,2022-09-24,100045801,46,2116,Winter wear,UPI,completed
143,1001376,2022-09-25,100045802,5,1834,Bags,UPI,completed
144,1001377,2022-09-26,100045803,47,2394,Winter wear,Debit Card,completed
145,1001378,2022-09-27,100045804,30,1857,Gym wear,Credit Card,completed
146,1001379,2022-09-28,100045805,25,2096,Kid's Clothing,UPI,completed
147,1001380,2022-09-29,100045806,44,4935,Beauty,UPI,completed
148,1001381,2022-09-30,100045807,39,1886,Accessories,Debit Card,completed
149,1001382,2022-10-01,100045808,37,4764,Bags,Credit Card,completed
150,1001383,2022-10-02,100045809,3,1145,Kid's Clothing,Debit Card,completed
151,1001384,2022-10-03,100045810,41,4155,Women's Clothing,Credit Card,completed
152,1001385,2022-10-04,100045811,37,1244,Women's Clothing,Credit Card,completed
153,1001386,2022-10-05,100045812,41,1641,Bags,UPI,completed
154,1001387,2022-10-06,100045813,13,3875,Jewellery,UPI,completed
155,1001388,2022-10-07,100045814,48,639,Kid's Clothing,Debit Card,completed
156,1001389,2022-10-08,100045815,41,1178,Men's Clothing,UPI,completed
157,1001390,2022-10-09,100045816,3,3743,Bags,Debit Card,completed
158,1001391,2022-10-10,100045817,43,4965,Men's Clothing,Credit Card,completed
159,1001392,2022-10-11,100045818,3,3310,Beauty,UPI,completed
160,1001393,2022-10-12,100045819,40,3936,Winter wear,Debit Card,completed
161,1001394,2022-10-13,100045820,13,1581,Bags,UPI,completed
162,1001395,2022-10-14,100045821,12,503,Winter wear,UPI,completed
163,1001396,2022-10-15,100045822,27,4039,Winter wear,Credit Card,completed
164,1001397,2022-10-16,100045823,41,1983,Footwear,UPI,completed
165,1001398,2022-10-17,100045824,20,1378,Beauty,UPI,completed
166,1001399,2022-10-18,100045825,4,1906,Bags,UPI,completed
167,1001400,2022-10-19,100045826,43,3368,Gym wear,UPI,completed
168,1001401,2022-10-20,100045827,19,1376,Gym wear,UPI,completed
169,1001402,2022-10-21,100045828,47,3848,Jewellery,UPI,completed
170,1001403,2022-10-22,100045829,14,4437,Footwear,Credit Card,completed
171,1001404,2022-10-23,100045830,39,4254,Bags,Debit Card,completed
172,1001405,2022-10-24,100045831,33,4089,Kid's Clothing,Debit Card,completed
173,1001406,2022-10-25,100045832,29,3162,Kid's Clothing,Credit Card,completed
174,1001407,2022-10-26,100045833,12,4014,Bags,Debit Card,completed
175,1001408,2022-10-27,100045834,44,2146,Bags,Credit Card,completed
176,1001409,2022-10-28,100045835,45,1037,Bags,Debit Card,completed
177,1001410,2022-10-29,100045836,25,317,Kid's Clothing,Credit Card,completed
178,1001411,2022-10-30,100045837,8,4861,Jewellery,UPI,completed
179,1001412,2022-10-31,100045838,29,3272,Winter wear,Credit Card,completed
180,1001413,2022-11-01,100045839,34,522,Gym wear,UPI,completed
181,1001414,2022-11-02,100045840,6,3017,Accessories,Credit Card,completed
182,1001415,2022-11-03,100045841,10,493,Bags,UPI,completed
183,1001416,2022-11-04,100045842,35,2276,Women's Clothing,UPI,completed
184,1001417,2022-11-05,100045843,32,3827,Jewellery,Credit Card,completed
185,1001418,2022-11-06,100045844,5,1923,Beauty,UPI,completed
186,1001419,2022-11-07,100045845,37,4693,Footwear,UPI,completed
187,1001420,2022-11-08,100045846,5,2094,Footwear,Debit Card,completed
188,1001421,2022-11-09,100045847,6,2735,Jewellery,Credit Card,completed
189,1001422,2022-11-10,100045848,32,4720,Jewellery,Credit Card,completed
190,1001423,2022-11-11,100045849,32,4567,Winter wear,Credit Card,completed
191,1001424,2022-11-12,100045850,27,881,Jewellery,Credit Card,completed
192,1001425,2022-11-13,100045851,38,4230,Kid's Clothing,Debit Card,completed
193,1001426,2022-11-14,100045852,36,2057,Bags,Credit Card,completed
194,1001427,2022-11-15,100045853,22,2039,Winter wear,Debit Card,completed
195,1001428,2022-11-16,100045854,11,375,Bags,Credit Card,completed
196,1001429,2022-11-17,100045855,27,2363,Footwear,Debit Card,completed
197,1001430,2022-11-18,100045856,44,1499,Footwear,UPI,completed
198,1001431,2022-11-19,100045857,12,4693,Jewellery,UPI,completed
199,1001432,2022-11-20,100045858,49,3072,Men's Clothing,Credit Card,completed
200,1001433,2022-11-21,100045859,49,539,Bags,UPI,completed
201,1001434,2022-11-22,100045860,26,1232,Winter wear,UPI,completed
202,1001435,2022-11-23,100045861,42,1917,Gym wear,UPI,completed
203,1001436,2022-11-24,100045862,44,868,Gym wear,UPI,completed
204,1001437,2022-11-25,100045863,31,4441,Footwear,Debit Card,completed
205,1001438,2022-11-26,100045864,20,4804,Men's Clothing,Credit Card,completed
206,1001439,2022-11-27,100045865,43,3867,Kid's Clothing,UPI,completed
207,1001440,2022-11-28,100045866,37,1655,Jewellery,Debit Card,completed
208,1001441,2022-11-29,100045867,33,2183,Bags,UPI,completed
209,1001442,2022-11-30,100045868,38,1634,Beauty,Credit Card,completed
210,1001443,2022-12-01,100045869,41,4071,Women's Clothing,Debit Card,completed
211,1001444,2022-12-02,100045870,10,2094,Footwear,UPI,completed
212,1001445,2022-12-03,100045871,8,1635,Jewellery,UPI,completed
213,1001446,2022-12-04,100045872,19,3362,Beauty,Debit Card,completed
214,1001447,2022-12-05,100045873,36,3256,Accessories,Debit Card,completed
215,1001448,2022-12-06,100045874,18,2881,Accessories,UPI,completed
216,1001449,2022-12-07,100045875,46,4178,Women's Clothing,UPI,completed
217,1001450,2022-12-08,100045876,22,2026,Men's Clothing,UPI,completed
218,1001451,2022-12-09,100045877,24,877,Accessories,Debit Card,completed
219,1001452,2022-12-10,100045878,2,2895,Gym wear,Credit Card,completed
220,1001453,2022-12-11,100045879,3,2654,Accessories,Credit Card,completed
221,1001454,2022-12-12,100045880,41,3980,Women's Clothing,Credit Card,completed
222,1001455,2022-12-13,100045881,48,3389,Kid's Clothing,Credit Card,completed
223,1001456,2022-12-14,100045882,47,3472,Kid's Clothing,Debit Card,completed
224,1001457,2022-12-15,100045883,26,2916,Bags,UPI,completed
225,1001458,2022-12-16,100045884,23,261,Kid's Clothing,UPI,completed
226,1001459,2022-12-17,100045885,21,377,Jewellery,Credit Card,completed
227,1001460,2022-12-18,100045886,17,2582,Jewellery,Credit Card,completed
228,1001461,2022-12-19,100045887,22,661,Bags,Credit Card,completed
229,1001462,2022-12-20,100045888,6,1826,Men's Clothing,Debit Card,completed
230,1001463,2022-12-21,100045889,19,4800,Winter wear,UPI,completed
231,1001464,2022-12-22,100045890,42,3032,Winter wear,Debit Card,completed
232,1001465,2022-12-23,100045891,13,1946,Footwear,UPI,completed
233,1001466,2022-12-24,100045892,4,2714,Women's Clothing,Credit Card,completed
234,1001467,2022-12-25,100045893,31,1746,Jewellery,Credit Card,completed
235,1001468,2022-12-26,100045894,45,2377,Winter wear,Credit Card,completed
236,1001469,2022-12-27,100045895,35,1779,Men's Clothing,UPI,completed
237,1001470,2022-12-28,100045896,16,791,Footwear,Credit Card,completed
238,1001471,2022-12-29,100045897,5,498,Men's Clothing,Credit Card,completed
239,1001472,2022-12-30,100045898,21,2121,Bags,Credit Card,completed
240,1001473,2022-12-31,100045899,44,423,Women's Clothing,Credit Card,completed
241,1001474,2021-01-01,100045900,31,3608,Beauty,Credit Card,completed
242,1001475,2021-01-02,100045901,20,3797,Bags,Debit Card,completed
243,1001476,2021-01-03,100045902,21,4034,Men's Clothing,Debit Card,completed
244,1001477,2021-01-04,100045903,47,4576,Winter wear,UPI,completed
245,1001478,2021-01-05,100045904,8,3265,Accessories,Debit Card,completed
246,1001479,2021-01-06,100045905,48,4896,Men's Clothing,Debit Card,completed
247,1001480,2021-01-07,100045906,23,3586,Beauty,UPI,completed
248,1001481,2021-01-08,100045907,1,1768,Kid's Clothing,Credit Card,completed
249,1001482,2021-01-09,100045908,26,1584,Kid's Clothing,Credit Card,completed
250,1001483,2021-01-10,100045909,37,4533,Beauty,UPI,completed
251,1001484,2021-01-11,100045910,12,4229,Winter wear,Debit Card,completed
252,1001485,2021-01-12,100045911,40,4332,Women's Clothing,Credit Card,completed
253,1001486,2021-01-13,100045912,44,1069,Gym wear,Debit Card,completed
254,1001487,2021-01-14,100045913,1,3397,Men's Clothing,Debit Card,completed
255,1001488,2021-01-15,100045914,44,643,Winter wear,Debit Card,completed
256,1001489,2021-01-16,100045915,46,769,Footwear,Credit Card,completed
257,1001490,2021-01-17,100045916,25,3651,Winter wear,Credit Card,completed
258,1001491,2021-01-18,100045917,38,3233,Accessories,Credit Card,completed
259,1001492,2021-01-19,100045918,44,2535,Jewellery,Credit Card,completed
260,1001493,2021-01-20,100045919,32,1492,Accessories,UPI,completed
261,1001494,2021-01-21,100045920,3,3390,Women's Clothing,UPI,completed
262,1001495,2021-01-22,100045921,18,821,Men's Clothing,Debit Card,completed
263,1001496,2021-01-23,100045922,45,665,Bags,UPI,completed
264,1001497,2021-01-24,100045923,25,3180,Gym wear,Debit Card,completed
265,1001498,2021-01-25,100045924,43,4944,Accessories,Credit Card,completed
266,1001499,2021-01-26,100045925,19,738,Winter wear,Debit Card,completed
267,1001500,2021-01-27,100045926,7,3994,Women's Clothing,Credit Card,completed
268,1001501,2021-01-28,100045927,36,4144,Beauty,Credit Card,completed
269,1001502,2021-01-29,100045928,17,4503,Women's Clothing,Debit Card,completed
270,1001503,2021-01-30,100045929,38,1977,Footwear,Debit Card,completed
271,1001504,2021-01-31,100045930,46,616,Footwear,Credit Card,completed
272,1001505,2021-02-01,100045931,41,1059,Winter wear,Credit Card,completed
273,1001506,2021-02-02,100045932,31,3305,Women's Clothing,Debit Card,completed
274,1001507,2021-02-03,100045933,41,1323,Accessories,Credit Card,completed
275,1001508,2021-02-04,100045934,47,4775,Beauty,Credit Card,completed
276,1001509,2021-02-05,100045935,6,4529,Kid's Clothing,UPI,completed
277,1001510,2021-02-06,100045936,34,4565,Women's Clothing,UPI,completed
278,1001511,2021-02-07,100045937,31,1126,Beauty,UPI,completed
279,1001512,2021-02-08,100045938,44,1717,Accessories,Credit Card,completed
280,1001513,2021-02-09,100045939,48,4309,Footwear,Debit Card,completed
281,1001514,2021-02-10,100045940,37,2925,Winter wear,Credit Card,completed
282,1001515,2021-02-11,100045941,20,1236,Kid's Clothing,UPI,completed
283,1001516,2021-02-12,100045942,37,4564,Men's Clothing,Debit Card,completed
284,1001517,2021-02-13,100045943,39,1123,Beauty,Debit Card,completed
285,1001518,2021-02-14,100045944,47,3907,Footwear,UPI,completed
286,1001519,2021-02-15,100045945,42,4087,Footwear,Credit Card,completed
287,1001520,2021-02-16,100045946,24,4004,Accessories,Credit Card,completed
288,1001521,2021-02-17,100045947,48,3619,Kid's Clothing,UPI,completed
289,1001522,2021-02-18,100045948,11,516,Women's Clothing,Credit Card,completed
290,1001523,2021-02-19,100045949,35,4181,Accessories,UPI,completed
291,1001524,2021-02-20,100045950,36,3526,Bags,Credit Card,completed
292,1001525,2021-02-21,100045951,34,3281,Winter wear,Credit Card,completed
293,1001526,2021-02-22,100045952,49,1142,Jewellery,Debit Card,completed
294,1001527,2021-02-23,100045953,9,275,Winter wear,Credit Card,completed
295,1001528,2021-02-24,100045954,36,3400,Jewellery,UPI,completed
296,1001529,2021-02-25,100045955,44,2028,Beauty,UPI,completed
297,1001530,2021-02-26,100045956,23,3381,Jewellery,Debit Card,completed
298,1001531,2021-02-27,100045957,2,3493,Kid's Clothing,UPI,completed
299,1001532,2021-02-28,100045958,48,4338,Beauty,Debit Card,completed
300,1001533,2021-03-01,100045959,42,2878,Winter wear,Debit Card,completed
301,1001534,2021-03-02,100045960,35,875,Footwear,Debit Card,completed
302,1001535,2021-03-03,100045961,1,1039,Jewellery,Credit Card,completed
303,1001536,2021-03-04,100045962,11,2102,Gym wear,Debit Card,completed
304,1001537,2021-03-05,100045963,1,3887,Winter wear,UPI,completed
305,1001538,2021-03-06,100045964,11,971,Bags,UPI,completed
306,1001539,2021-03-07,100045965,40,3923,Beauty,UPI,completed
307,1001540,2021-03-08,100045966,20,548,Men's Clothing,Credit Card,completed
308,1001541,2021-03-09,100045967,42,4186,Accessories,UPI,completed
309,1001542,2021-03-10,100045968,27,1722,Men's Clothing,UPI,completed
310,1001543,2021-03-11,100045969,39,2850,Bags,Debit Card,completed
311,1001544,2021-03-12,100045970,11,1747,Footwear,UPI,completed
312,1001545,2021-03-13,100045971,43,868,Men's Clothing,Debit Card,completed
313,1001546,2021-03-14,100045972,49,4477,Kid's Clothing,Credit Card,completed
314,1001547,2021-03-15,100045973,35,4878,Kid's Clothing,Credit Card,completed
315,1001548,2021-03-16,100045974,18,644,Accessories,Debit Card,completed
316,1001549,2021-03-17,100045975,45,3597,Bags,Credit Card,completed
317,1001550,2021-03-18,100045976,13,1182,Jewellery,Credit Card,completed
318,1001551,2021-03-19,100045977,47,4341,Jewellery,Debit Card,completed
319,1001552,2021-03-20,100045978,3,1220,Beauty,Debit Card,completed
320,1001553,2021-03-21,100045979,36,3947,Women's Clothing,UPI,completed
321,1001554,2021-03-22,100045980,32,2923,Men's Clothing,Credit Card,completed
322,1001555,2021-03-23,100045981,47,1263,Winter wear,Debit Card,completed
323,1001556,2021-03-24,100045982,28,254,Accessories,UPI,completed
324,1001557,2021-03-25,100045983,47,4382,Winter wear,Debit Card,completed
325,1001558,2021-03-26,100045984,49,4037,Accessories,Debit Card,completed
326,1001559,2021-03-27,100045985,31,3717,Kid's Clothing,UPI,completed
327,1001560,2021-03-28,100045986,43,2964,Women's Clothing,Debit Card,completed
328,1001561,2021-03-29,100045987,12,4380,Gym wear,UPI,completed
329,1001562,2021-03-30,100045988,15,2389,Women's Clothing,Credit Card,completed
330,1001563,2021-03-31,100045989,28,461,Accessories,Debit Card,completed
331,1001564,2021-04-01,100045990,40,3085,Kid's Clothing,Credit Card,completed
332,1001565,2021-04-02,100045991,38,737,Accessories,Debit Card,completed
333,1001566,2021-04-03,100045992,39,546,Gym wear,Credit Card,completed
334,1001567,2021-04-04,100045993,38,2979,Beauty,UPI,completed
335,1001568,2021-04-05,100045994,48,1877,Jewellery,UPI,completed
336,1001569,2021-04-06,100045995,4,3737,Beauty,Debit Card,completed
337,1001570,2021-04-07,100045996,20,1632,Bags,Debit Card,completed
338,1001571,2021-04-08,100045997,23,3967,Beauty,UPI,completed
339,1001572,2021-04-09,100045998,22,3374,Jewellery,Debit Card,completed
340,1001573,2021-04-10,100045999,25,2349,Kid's Clothing,UPI,completed
341,1001574,2021-04-11,100046000,20,984,Accessories,Credit Card,completed
342,1001575,2021-04-12,100046001,31,4715,Winter wear,UPI,completed
343,1001576,2021-04-13,100046002,28,4501,Jewellery,UPI,completed
344,1001577,2021-04-14,100046003,47,3066,Footwear,Debit Card,completed
345,1001578,2021-04-15,100046004,41,4839,Winter wear,Debit Card,completed
346,1001579,2021-04-16,100046005,1,1093,Kid's Clothing,Debit Card,completed
347,1001580,2021-04-17,100046006,21,4991,Accessories,Debit Card,completed
348,1001581,2021-04-18,100046007,37,3001,Women's Clothing,Credit Card,completed
349,1001582,2021-04-19,100046008,33,2772,Beauty,Debit Card,completed
350,1001583,2021-04-20,100046009,14,3464,Footwear,Debit Card,completed
351,1001584,2021-04-21,100046010,23,2042,Bags,Debit Card,completed
352,1001585,2021-04-22,100046011,27,4428,Jewellery,Debit Card,completed
353,1001586,2021-04-23,100046012,14,2729,Winter wear,UPI,completed
354,1001587,2021-04-24,100046013,14,1262,Footwear,Debit Card,completed
355,1001588,2021-04-25,100046014,26,940,Jewellery,Credit Card,completed
356,1001589,2021-04-26,100046015,27,1356,Footwear,Credit Card,completed
357,1001590,2021-04-27,100046016,49,2325,Gym wear,Debit Card,completed
358,1001591,2021-04-28,100046017,13,3700,Gym wear,Debit Card,completed
359,1001592,2021-04-29,100046018,15,4007,Men's Clothing,UPI,completed
360,1001593,2021-04-30,100046019,28,3953,Jewellery,UPI,completed
361,1001594,2021-05-01,100046020,32,4731,Women's Clothing,UPI,completed
362,1001595,2021-05-02,100046021,13,2537,Men's Clothing,Debit Card,completed
363,1001596,2021-05-03,100046022,1,4620,Women's Clothing,Credit Card,completed
364,1001597,2021-05-04,100046023,24,3997,Men's Clothing,UPI,completed
365,1001598,2021-05-05,100046024,11,3919,Gym wear,Debit Card,completed
366,1001599,2021-05-06,100046025,36,3434,Kid's Clothing,Debit Card,completed
367,1001600,2021-05-07,100046026,5,2888,Winter wear,Debit Card,completed
368,1001601,2021-05-08,100046027,37,1488,Beauty,Credit Card,completed
369,1001602,2021-05-09,100046028,45,2733,Women's Clothing,Debit Card,completed
370,1001603,2021-05-10,100046029,36,2194,Gym wear,UPI,completed
371,1001604,2021-05-11,100046030,17,4360,Bags,Debit Card,completed
